panel_name,loan_amount,total_loan
WEST TOWN B&TC,1733,94932364
PEOPLES CU,1722,94932364
MIDCOUNTRY BK,1718,94932364
HOMEFIELD CU,1705,94932364
SHANGHAI CMRL BK SF BR,1680,94932364
"PRYSMA LENDING GROUP, LLC",1671,94932364
SOUTHCOAST HEALTH SYS FCU,1655,94932364
ROLLSTONE B&T,1653,94932364
MILLBURY SVG BK,1635,94932364
EMERY FCU,1633,94932364
"MMS MORTGAGE SERVICES, LTD.",1576,94932364
MONUMENT BK,1555,94932364
RHODE ISLAND CU,1452,94932364
TALMER B&TC,1448,94932364
NEW BEDFORD CU,1434,94932364
ST FIN CORP,1422,94932364
SHARONVIEW FCU,1373,94932364
WATERSTONE BK,1366,94932364
BRIDGEVIEW BK GRP,1323,94932364
WINGS FNCL CU,1305,94932364
ROYAL BK OF CANADA NY BR,1300,94932364
WEI MORTGAGE CORPORATION,1276,94932364
HANCOCK MORTGAGE PARTNERS,1274,94932364
UNIFY FINANCIAL CREDIT UNION,1272,94932364
"URBAN FINANCIAL GROUP, INC.",1254,94932364
NORTHROP GRUMMAN FCU,1245,94932364
EASTHAMPTON SVG BK,1235,94932364
ALLCOM CU,1230,94932364
HOMETOWN BK,1230,94932364
CLEARVIEW FCU,1211,94932364
WHITNEY BK,1200,94932364
SANFORD INST FOR SVG,1199,94932364
MASSMUTUAL FCU,1191,94932364
RBC BK GA NA,1189,94932364
FARMERS BANK & TRUST,1171,94932364
STATE DEPT FCU,1132,94932364
HAMPDEN BK,1123,94932364
TRIANGLE CU,1113,94932364
COMMERCE BK,1112,94932364
LEE BK,1107,94932364
EQUITABLE CO-OP BK,1096,94932364
HOMEFIELD CREDIT UNION,1095,94932364
STC CAP BK,1052,94932364
KEARNY FSB,1049,94932364
ALERUS FNCL NA,1028,94932364
"CIS FINANCIAL SERVICES, INC.",1023,94932364
FIRST SOUTH BK,1016,94932364
CNB MORTGAGE COMPANY,1008,94932364
CONNEXUS CU,1004,94932364
FLORIDA CAP BK NA,1000,94932364
BANK OF SULLIVAN,999,94932364
UNITED NORTHERN MORTGAGE BANKE,987,94932364
COMMUNITYONE BK NA,980,94932364
AMALGAMATED BK,965,94932364
MEADOWBROOK FINANCIAL MORTGAGE,963,94932364
XCEED FNCL CU,954,94932364
METROWEST CMNTY FCU,941,94932364
CLEVELAND SELF RELIANCE FCU,925,94932364
BAC FL BK,903,94932364
"ZB, NATIONAL ASSOCIATION",890,94932364
"UNIVERSAL AMERICAN MTG CO.,LLC",856,94932364
GREENFIELD CO-OP BK,853,94932364
SAVINGS INST BK & TR CO,841,94932364
PREFERRED BUSINESS EXCHANGE,837,94932364
"CARRINGTON MORTGAGE SVCS, LLC",836,94932364
FORETHOUGHT LIFE INSURANCE CO,829,94932364
PRIME ALLI BK,825,94932364
"CHERRYWOOD COMMERCIAL LENDING,",825,94932364
PLAINSCAPITAL BK,820,94932364
FORT SILL NB,818,94932364
ODYSSEY FUNDING LLC,815,94932364
DELTA CMNTY CU,802,94932364
NCB FSB,800,94932364
21ST MORTGAGE CORP.,796,94932364
MACHIAS SVG BK,795,94932364
MARBLEHEAD BK,793,94932364
MERIDIAN BK,779,94932364
AFFILIATED MORTGAGE COMPANY,768,94932364
BANK2,746,94932364
REVERSE MORT SOLUTIONS INC,745,94932364
ATLANTIC PACIFIC MORTGAGE CORP,744,94932364
SCIENT FCU,740,94932364
CHICOPEE SVG BK,730,94932364
CONNECTICUT HOME MORTGAGE,721,94932364
SALEM CO-OP BK,721,94932364
